TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
6462056	2.16.840.1.113883.6.5.2.1	601.1		
7295056	2.16.840.1.113883.6.5.2.1	745.2		
9348053	2.16.840.1.113883.6.5.2.1	995.50		
7641059	2.16.840.1.113883.6.5.2.1	780.51		
1603055	2.16.840.1.113883.6.5.2.1	730.10		
6720051	2.16.840.1.113883.6.5.2.1	656.10		
571056	2.16.840.1.113883.6.5.2.1	312.89		
7375052	2.16.840.1.113883.6.5.2.1	750.3		
9553678050	2.16.840.1.113883.6.5.2.1	608.20		
1017052	2.16.840.1.113883.6.5.2.1	474.12		
3951056	2.16.840.1.113883.6.5.2.1	153.9		
1076052	2.16.840.1.113883.6.5.2.1	527.9		
4918058	2.16.840.1.113883.6.5.2.1	335.20		
2014055	2.16.840.1.113883.6.5.2.1	790.8		
2172054	2.16.840.1.113883.6.5.2.1	813.41		
5774053	2.16.840.1.113883.6.5.2.1	425.5		
8466052	2.16.840.1.113883.6.5.2.1	892.1		
9553441056	2.16.840.1.113883.6.5.2.1	V13.02		
9553470052	2.16.840.1.113883.6.5.2.1	V15.89		
4956057	2.16.840.1.113883.6.5.2.1	348.1		
9535680053	2.16.840.1.113883.6.5.2.1	647.90		
8628056	2.16.840.1.113883.6.5.2.1	914.0		
9536594051	2.16.840.1.113883.6.5.2.1	789.02		
9536593058	2.16.840.1.113883.6.5.2.1	789.01		
3367055	2.16.840.1.113883.6.5.2.1	034.1		
1121056	2.16.840.1.113883.6.5.2.1	564.9		
9405056	2.16.840.1.113883.6.5.2.1	999.6		
1120055	2.16.840.1.113883.6.5.2.1	564.89		
7129054	2.16.840.1.113883.6.5.2.1	729.4		
9534298050	2.16.840.1.113883.6.5.2.1	179		
3898052	2.16.840.1.113883.6.5.2.1	145.9		
9555743056	2.16.840.1.113883.6.5.2.1	288.69		
9553164053	2.16.840.1.113883.6.5.2.1	362.03		
1421050	2.16.840.1.113883.6.5.2.1	704.9		
5532059	2.16.840.1.113883.6.5.2.1	378.54		
6033054	2.16.840.1.113883.6.5.2.1	506.9		
1143051	2.16.840.1.113883.6.5.2.1	581.9		
5069052	2.16.840.1.113883.6.5.2.1	362.11		
8637056	2.16.840.1.113883.6.5.2.1	915.0		
258055	2.16.840.1.113883.6.5.2.1	253.6		
1227051	2.16.840.1.113883.6.5.2.1	620.9		
749050	2.16.840.1.113883.6.5.2.1	368.15		
5565054	2.16.840.1.113883.6.5.2.1	379.50		
5068057	2.16.840.1.113883.6.5.2.1	362.02		
9556094054	2.16.840.1.113883.6.5.2.1	618.3		
9545422053	2.16.840.1.113883.6.5.2.1	575.12		
7690059	2.16.840.1.113883.6.5.2.1	802.22		
9553407051	2.16.840.1.113883.6.5.2.1	V10.3		
9553412052	2.16.840.1.113883.6.5.2.1	V10.52		
9553411058	2.16.840.1.113883.6.5.2.1	V10.51		
7186057	2.16.840.1.113883.6.5.2.1	736.21		
7227057	2.16.840.1.113883.6.5.2.1	739.9		
9570410057	2.16.840.1.113883.6.5.2.1	V83.89		
5411052	2.16.840.1.113883.6.5.2.1	374.34		
2307054	2.16.840.1.113883.6.5.2.1	879.9		
1665052	2.16.840.1.113883.6.5.2.1	743.00		
5786051	2.16.840.1.113883.6.5.2.1	426.7		
9547148050	2.16.840.1.113883.6.5.2.1	V41.9		
8322051	2.16.840.1.113883.6.5.2.1	871.9		
6105052	2.16.840.1.113883.6.5.2.1	524.63		
4374058	2.16.840.1.113883.6.5.2.1	214.0		
4102052	2.16.840.1.113883.6.5.2.1	190.1		
6131054	2.16.840.1.113883.6.5.2.1	528.5		
1204056	2.16.840.1.113883.6.5.2.1	611.0		
2306058	2.16.840.1.113883.6.5.2.1	879.8		
1839050	2.16.840.1.113883.6.5.2.1	780.50		
432057	2.16.840.1.113883.6.5.2.1	300.11		
5227056	2.16.840.1.113883.6.5.2.1	366.8		
6357056	2.16.840.1.113883.6.5.2.1	574.20		
1859054	2.16.840.1.113883.6.5.2.1	781.1		
582051	2.16.840.1.113883.6.5.2.1	314.00		
4594053	2.16.840.1.113883.6.5.2.1	255.9		
4762059	2.16.840.1.113883.6.5.2.1	295.40		
5677052	2.16.840.1.113883.6.5.2.1	387.9		
1005050	2.16.840.1.113883.6.5.2.1	462		
596058	2.16.840.1.113883.6.5.2.1	315.39		
7613058	2.16.840.1.113883.6.5.2.1	775.3		
4528056	2.16.840.1.113883.6.5.2.1	239.6		
6603059	2.16.840.1.113883.6.5.2.1	636.10		
2013053	2.16.840.1.113883.6.5.2.1	790.7		
2226057	2.16.840.1.113883.6.5.2.1	824.4		
8967051	2.16.840.1.113883.6.5.2.1	945.20		
1825050	2.16.840.1.113883.6.5.2.1	780.09		
1386059	2.16.840.1.113883.6.5.2.1	692.9		
3882058	2.16.840.1.113883.6.5.2.1	142.9		
428050	2.16.840.1.113883.6.5.2.1	300.01		
8668057	2.16.840.1.113883.6.5.2.1	919.0		
9542104051	2.16.840.1.113883.6.5.2.1	770.84		
5947056	2.16.840.1.113883.6.5.2.1	471.8		
1553057	2.16.840.1.113883.6.5.2.1	721.1		
5191055	2.16.840.1.113883.6.5.2.1	365.63		
3659057	2.16.840.1.113883.6.5.2.1	095.1		
6685050	2.16.840.1.113883.6.5.2.1	648.20		
2177056	2.16.840.1.113883.6.5.2.1	813.52		
9549798053	2.16.840.1.113883.6.5.2.1	252.01		
9535354056	2.16.840.1.113883.6.5.2.1	558.3		
6376059	2.16.840.1.113883.6.5.2.1	576.2		
9534749058	2.16.840.1.113883.6.5.2.1	294.9		
4319058	2.16.840.1.113883.6.5.2.1	204.11		
3445055	2.16.840.1.113883.6.5.2.1	053.12		
545055	2.16.840.1.113883.6.5.2.1	307.9		
1569051	2.16.840.1.113883.6.5.2.1	726.8		
407059	2.16.840.1.113883.6.5.2.1	296.50		
426054	2.16.840.1.113883.6.5.2.1	299.00		
8029050	2.16.840.1.113883.6.5.2.1	846.0		
750050	2.16.840.1.113883.6.5.2.1	368.16		
6062050	2.16.840.1.113883.6.5.2.1	518.81		
6894059	2.16.840.1.113883.6.5.2.1	710.9		
1037051	2.16.840.1.113883.6.5.2.1	507.8		
778051	2.16.840.1.113883.6.5.2.1	371.00		
6665051	2.16.840.1.113883.6.5.2.1	644.00		
5896054	2.16.840.1.113883.6.5.2.1	453.0		
1535050	2.16.840.1.113883.6.5.2.1	719.51		
5738057	2.16.840.1.113883.6.5.2.1	411.89		
9039052	2.16.840.1.113883.6.5.2.1	952.00		
9547215057	2.16.840.1.113883.6.5.2.1	358.00		
539050	2.16.840.1.113883.6.5.2.1	307.59		
1237059	2.16.840.1.113883.6.5.2.1	622.9		
969050	2.16.840.1.113883.6.5.2.1	427.89		
6002052	2.16.840.1.113883.6.5.2.1	487.1		
3739054	2.16.840.1.113883.6.5.2.1	112.1		
7390051	2.16.840.1.113883.6.5.2.1	752.0		
6410058	2.16.840.1.113883.6.5.2.1	590.80		
1374057	2.16.840.1.113883.6.5.2.1	690.18		
1030053	2.16.840.1.113883.6.5.2.1	491.20		
4943051	2.16.840.1.113883.6.5.2.1	344.60		
